Empirical Data_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base year prices for selected items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current year prices for same items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55
19.88,93.55,12.75,9.36,9.36,3.36,2.75,2.04,3.05,4.31,11.89,2.44,17.54,3.61,4.11,13.45,4.21,13.59,86.07,1.82,35082.06,1174.89,946.85,1981.33,1565.05,173.81,0.1,52.76,46.76,33.59,14.62,98.2,44.17,109.93,150.56,6530.78,4624.43,3312.17,2.66,10.17,1.64,52.62,3.09,2.81,2.28,2.42,4.63,2.91,3.76,2.75,2.44,27.26,34919.37,350.46,4460.5,29.88,103.55,20.75,19.36,19.36,12.36,12.75,12.04,13.05,14.31,21.89,12.44,17.54,3.61,4.11,13.45,14.21,13.59,96.07,1.82,35092.06,1183.89,956.85,1991.33,1573.05,183.81,10.1,62.76,56.76,37.59,24.62,108.2,54.17,119.93,160.56,6540.78,4634.43,3322.17,7.66,20.17,11.64,62.62,13.09,9.81,12.28,7.42,14.63,8.91,13.76,12.75,11.44,37.26,34920.37,355.46,4465.5
1.43,8.59,4.3,1.79,2.51,0.27,0.21,0.68,0.43,0.8,4.34,0.39,3.58,1.55,3.55,1.07,0.14,2.3,5.73,0.66,11458.4,128.64,80.38,287.29,176.74,57.12,0.02,19.68,16.85,6.87,3.94,16.87,25.35,40.39,31.03,756.93,482.61,222.69,11.91,0.72,0.21,1.43,1.11,0.73,0.27,0.29,1.5,0.89,0.47,0.7,0.3,3.23,15307.01,53.89,1371.9,11.43,18.59,12.3,11.79,12.51,9.27,10.21,10.68,10.43,10.8,14.34,10.39,3.58,1.55,3.55,1.07,10.14,2.3,15.73,0.66,11468.4,137.64,90.38,297.29,184.74,67.12,10.02,29.68,26.85,10.87,13.94,26.87,35.35,50.39,41.03,766.93,492.61,232.69,16.91,10.72,10.21,11.43,11.11,7.73,10.27,5.29,11.5,6.89,10.47,10.7,9.3,13.23,15308.01,58.89,1376.9
6.78,27.13,7.05,2.44,2.98,0.69,0.54,1.73,0.58,2.05,6.39,0.72,10.85,2.03,2.59,6.78,0.81,6.21,40.69,1.72,32553.51,266.43,206.37,512.72,383.34,74.9,0.14,34.25,46.93,13.14,8.14,51.03,65.73,75.28,66.19,1018.74,696.06,790.52,7.79,2.71,0.85,12.21,1.47,1.11,0.93,1.1,1.84,1.78,1.09,1.25,0.86,13.96,33355.01,244.15,1705.18,16.78,37.13,15.05,12.44,12.98,9.69,10.54,11.73,10.58,12.05,16.39,10.72,10.85,2.03,2.59,6.78,10.81,6.21,50.69,1.72,32563.51,275.43,216.37,522.72,391.34,84.9,10.14,44.25,56.93,17.14,18.14,61.03,75.73,85.28,76.19,1028.74,706.06,800.52,12.79,12.71,10.85,22.21,11.47,8.11,10.93,6.1,11.84,7.78,11.09,11.25,9.86,23.96,33356.01,249.15,1710.18
8,40,6.5,2,3,1.21,1.03,1.45,1.86,1.99,7.67,1.5,8,0.81,2.32,5,0.25,5.95,30,0.8,17000,825.64,527.81,1424.36,967.31,84.36,0.12,50.19,51.06,26.11,6,48.85,35.5,67.04,71.38,2201.92,1469.74,726.35,5.12,2,2,10,3.44,2.62,1.53,1.55,2.69,1.52,2.77,1.11,1.73,7.79,19222.2,288.68,7804.65,18,50,14.5,12,13,10.21,11.03,11.45,11.86,11.99,17.67,11.5,8,0.81,2.32,5,10.25,5.95,40,0.8,17010,834.64,537.81,1434.36,975.31,94.36,10.12,60.19,61.06,30.11,16,58.85,45.5,77.04,81.38,2211.92,1479.74,736.35,10.12,12,12,20,13.44,9.62,11.53,6.55,12.69,7.52,12.77,11.11,10.73,17.79,19223.2,293.68,7809.65
3,15.01,4.8,1.8,3.55,0.69,0.47,1.26,1.42,1.66,6.54,0.93,7.95,1.59,2.87,3.6,0.45,3.73,30.01,1.1,18414.02,365.98,263.66,689.3,496.91,49.69,0.14,38.11,42.58,13.98,5.4,44.22,30.05,76.47,70.77,1698.44,1029.66,426.74,10.13,2.1,1.5,6,1.43,1.06,0.75,0.7,2.36,1.11,1.07,1.02,0.89,6.45,18748.33,196.64,5557.01,13,25.01,12.8,11.8,13.55,9.69,10.47,11.26,11.42,11.66,16.54,10.93,7.95,1.59,2.87,3.6,10.45,3.73,40.01,1.1,18424.02,374.98,273.66,699.3,504.91,59.69,10.14,48.11,52.58,17.98,15.4,54.22,40.05,86.47,80.77,1708.44,1039.66,436.74,15.13,12.1,11.5,16,11.43,8.06,10.75,5.7,12.36,7.11,11.07,11.02,9.89,16.45,18749.33,201.64,5562.01
2.87,14.15,2.87,0.96,1.72,0.5,0.31,1.48,0.99,1.5,6.78,0.64,5.74,0.83,1.54,1.43,0.19,3.27,9.56,0.94,25814.03,251.67,142.55,547.67,289.82,104.54,0.15,41.33,30.63,4.04,4.4,37.64,23.06,70.6,57.21,1683.98,880.08,293.05,7.2,0.76,0.26,2.29,2.42,2.07,1.5,1.12,2.01,0.91,1.02,1.09,1.41,5.39,22168.05,300.22,5689.52,12.87,24.15,10.87,10.96,11.72,9.5,10.31,11.48,10.99,11.5,16.78,10.64,5.74,0.83,1.54,1.43,10.19,3.27,19.56,0.94,25824.03,260.67,152.55,557.67,297.82,114.54,10.15,51.33,40.63,8.04,14.4,47.64,33.06,80.6,67.21,1693.98,890.08,303.05,12.2,10.76,10.26,12.29,12.42,9.07,11.5,6.12,12.01,6.91,11.02,11.09,10.41,15.39,22169.05,305.22,5694.52
5.32,26.59,4.79,1.86,2.13,1,0.81,0.64,0.74,2.02,6.03,0.49,5.32,0.8,1.11,4.25,0.85,4.17,25,1.32,18615.59,481.81,367.39,806.48,611.21,170.12,0.06,13.62,27.66,12.81,6.65,67.6,33.33,71.09,77.23,2113.57,1496.21,873.82,3.84,1.86,0.64,9.31,0.78,1.21,0.47,0.74,2.11,0.87,1.39,1.14,0.56,8.55,19648.18,260.54,10911.58,15.32,36.59,12.79,11.86,12.13,10,10.81,10.64,10.74,12.02,16.03,10.49,5.32,0.8,1.11,4.25,10.85,4.17,35,1.32,18625.59,490.81,377.39,816.48,619.21,180.12,10.06,23.62,37.66,16.81,16.65,77.6,43.33,81.09,87.23,2123.57,1506.21,883.82,8.84,11.86,10.64,19.31,10.78,8.21,10.47,5.74,12.11,6.87,11.39,11.14,9.56,18.55,19649.18,265.54,10916.58
8.54,34.16,6.83,1.71,2.28,1.39,1,0.71,1.22,1.9,8.17,0.6,4.56,0.97,1.76,5.69,1.77,6.1,41,1.74,28469.01,676.71,491.87,1207.26,801.86,104.77,0.19,34.12,38.91,12.48,7.4,86.77,31.25,79.95,90.92,2965.75,1625.19,905.66,2.54,3.87,0.54,16.85,1.74,1.33,0.91,1.02,1.41,1,1.56,1.27,1.02,10.63,27462.63,409.23,9249.53,18.54,44.16,14.83,11.71,12.28,10.39,11,10.71,11.22,11.9,18.17,10.6,4.56,0.97,1.76,5.69,11.77,6.1,51,1.74,28479.01,685.71,501.87,1217.26,809.86,114.77,10.19,44.12,48.91,16.48,17.4,96.77,41.25,89.95,100.92,2975.75,1635.19,915.66,7.54,13.87,10.54,26.85,11.74,8.33,10.91,6.02,11.41,7,11.56,11.27,10.02,20.63,27463.63,414.23,9254.53
10,50,7,2,3,1.1,1.05,1.7,2.51,2.49,5.83,1.56,10.5,1.39,2.8,9,1.5,7.57,30,0.75,25500,556.25,419.68,977.08,754.5,194.46,0.19,59.09,33.91,17.95,7.5,41.1,38.98,78.86,88.69,1595.02,1136.94,1862.06,4.42,3,1.52,17.5,4.67,2.93,2.61,2.23,2.3,2.29,3.41,1.87,2.13,8.24,22623.28,330.75,7222.67,20,60,15,12,13,10.1,11.05,11.7,12.51,12.49,15.83,11.56,10.5,1.39,2.8,9,11.5,7.57,40,0.75,25510,565.25,429.68,987.08,762.5,204.46,10.19,69.09,43.91,21.95,17.5,51.1,48.98,88.86,98.69,1605.02,1146.94,1872.06,9.42,13,11.52,27.5,14.67,9.93,12.61,7.23,12.3,8.29,13.41,11.87,11.13,18.24,22624.28,335.75,7227.67
6.87,49.43,6.87,10.99,10.99,0.46,0.27,1.71,1.44,2.8,7.17,0.5,23.34,9.71,10.07,2.75,1.37,5.57,27.46,0.54,19224.46,1414.89,991.28,2740.63,1907.32,68.05,0.17,86.55,102.57,28.33,9.61,60.65,53.18,92.35,89.41,4558.94,3052.54,3314.43,4.74,2.75,0.52,8.79,1.97,1.54,0.95,1.86,4.85,1.63,1.88,1.49,0.84,7.02,18140.53,595.28,8881.8,16.87,59.43,14.87,20.99,20.99,9.46,10.27,11.71,11.44,12.8,17.17,10.5,23.34,9.71,10.07,2.75,11.37,5.57,37.46,0.54,19234.46,1423.89,1001.28,2750.63,1915.32,78.05,10.17,96.55,112.57,32.33,19.61,70.65,63.18,102.35,99.41,4568.94,3062.54,3324.43,9.74,12.75,10.52,18.79,11.97,8.54,10.95,6.86,14.85,7.63,11.88,11.49,9.84,17.02,18141.53,600.28,8886.8
6.07,24.29,4.37,1.46,1.94,1.19,1.02,1.03,0.57,2.27,5.29,0.57,4.86,0.77,1.2,4.13,0.49,4.49,17,1.35,17972.03,324.54,235.76,553.25,389.23,104.43,0.1,8.72,31.04,12.1,6.07,52.66,32.34,68.34,76.06,1572.33,1088.05,651.81,3.91,0.49,0.49,4.86,0.88,1.11,0.52,0.6,1.59,1.09,1.18,1.2,0.54,6.88,19060.47,311.71,8580.53,16.07,34.29,12.37,11.46,11.94,10.19,11.02,11.03,10.57,12.27,15.29,10.57,4.86,0.77,1.2,4.13,10.49,4.49,27,1.35,17982.03,333.54,245.76,563.25,397.23,114.43,10.1,18.72,41.04,16.1,16.07,62.66,42.34,78.34,86.06,1582.33,1098.05,661.81,8.91,10.49,10.49,14.86,10.88,8.11,10.52,5.6,11.59,7.09,11.18,11.2,9.54,16.88,19061.47,316.71,8585.53
7.54,30.17,4.53,1.51,2.26,0.76,0.5,0.88,0.51,1.06,7.34,0.58,6.79,0.9,1.68,2.11,0.38,3.91,27.91,0.66,16592.85,410.76,252.28,756.42,502.72,101.12,0.02,7.21,31.98,17.36,4.53,66.48,39.32,75.62,92.87,1404.55,997.33,517.77,10.58,1.51,0.2,4.53,1.31,1.24,0.48,0.84,1.93,0.93,1.87,0.93,0.43,7.36,17785.76,283.23,6129.18,17.54,40.17,12.53,11.51,12.26,9.76,10.5,10.88,10.51,11.06,17.34,10.58,6.79,0.9,1.68,2.11,10.38,3.91,37.91,0.66,16602.85,419.76,262.28,766.42,510.72,111.12,10.02,17.21,41.98,21.36,14.53,76.48,49.32,85.62,102.87,1414.55,1007.33,527.77,15.58,11.51,10.2,14.53,11.31,8.24,10.48,5.84,11.93,6.93,11.87,10.93,9.43,17.36,17786.76,288.23,6134.18
5.33,21.33,6.13,1.33,1.33,0.62,0.24,1.23,0.62,2.02,5.79,0.56,4,1.17,1.09,6.4,0.8,5.01,39.99,0.38,18661.19,351.18,260.21,633.01,477.7,69.31,0.12,63.28,83.26,28.88,17.33,45.19,51.3,84.76,73.07,1138.04,747.41,1613.32,3.78,2.67,1.33,8,1.89,1.51,1.07,1.07,2.81,1.82,1.47,1.47,0.97,10.2,17259.19,304.23,5081.69,15.33,31.33,14.13,11.33,11.33,9.62,10.24,11.23,10.62,12.02,15.79,10.56,4,1.17,1.09,6.4,10.8,5.01,49.99,0.38,18671.19,360.18,270.21,643.01,485.7,79.31,10.12,73.28,93.26,32.88,27.33,55.19,61.3,94.76,83.07,1148.04,757.41,1623.32,8.78,12.67,11.33,18,11.89,8.51,11.07,6.07,12.81,7.82,11.47,11.47,9.97,20.2,17260.19,309.23,5086.69
5.2,21.17,4.81,1.44,1.92,1.22,0.81,0.86,0.43,1.38,5.07,0.48,3.85,0.64,0.97,2.89,0.77,4.81,28.87,1.49,19243.72,250.97,168.73,504.43,308.04,143.3,0.11,21.25,23.02,8.07,3.85,62.12,29.05,76.82,90.55,1891.98,1130.67,400.09,3.79,1.44,0.63,5.77,0.79,1.14,0.49,0.42,1.26,1.13,1.03,1.19,0.46,6.86,18563.95,224.6,7154.67,15.2,31.17,12.81,11.44,11.92,10.22,10.81,10.86,10.43,11.38,15.07,10.48,3.85,0.64,0.97,2.89,10.77,4.81,38.87,1.49,19253.72,259.97,178.73,514.43,316.04,153.3,10.11,31.25,33.02,12.07,13.85,72.12,39.05,86.82,100.55,1901.98,1140.67,410.09,8.79,11.44,10.63,15.77,10.79,8.14,10.49,5.42,11.26,7.13,11.03,11.19,9.46,16.86,18564.95,229.6,7159.67
5.9,36.87,5.16,6.64,6.64,1.09,0.8,2.36,1.44,1.74,13.82,1.02,14.75,2.83,3.15,10.32,1.2,5.08,73.73,1.69,81107.73,1812,1026.98,3316.1,1969.57,105.63,0.1,30.67,86.45,7.39,8.85,65.71,34.72,84.18,86.33,16579.49,8393.82,2876.13,2.19,2.58,0.41,12.83,2.73,2.29,1.68,1.09,3.49,1.91,1.58,1.62,1.5,10.53,72900.76,718.07,18003.46,15.9,46.87,13.16,16.64,16.64,10.09,10.8,12.36,11.44,11.74,23.82,11.02,14.75,2.83,3.15,10.32,11.2,5.08,83.73,1.69,81117.73,1821,1036.98,3326.1,1977.57,115.63,10.1,40.67,96.45,11.39,18.85,75.71,44.72,94.18,96.33,16589.49,8403.82,2886.13,7.19,12.58,10.41,22.83,12.73,9.29,11.68,6.09,13.49,7.91,11.58,11.62,10.5,20.53,72901.76,723.07,18008.46
5.69,25.62,5.69,1.48,1.71,1.39,1.07,0.81,1,2.09,8.17,0.68,4.56,0.81,1.25,4.21,0.8,5.59,29.61,1.52,17081.4,540.01,416.64,842.95,638.43,201.31,0.09,18.13,30.2,10.77,7.4,65.56,32.84,67.47,78.6,2051.46,1605.52,889.1,1.86,3.42,0.85,17.08,1.61,1.61,0.91,1.09,1.83,1.27,2,1.61,0.79,8.92,18045.32,409.18,9081.61,15.69,35.62,13.69,11.48,11.71,10.39,11.07,10.81,11,12.09,18.17,10.68,4.56,0.81,1.25,4.21,10.8,5.59,39.61,1.52,17091.4,549.01,426.64,852.95,646.43,211.31,10.09,28.13,40.2,14.77,17.4,75.56,42.84,77.47,88.6,2061.46,1615.52,899.1,6.86,13.42,10.85,27.08,11.61,8.61,10.91,6.09,11.83,7.27,12,11.61,9.79,18.92,18046.32,414.18,9086.61
8.54,34.16,5.69,2.85,3.42,2.23,1.54,0.99,1.19,2.31,10.28,0.73,5.69,1.18,1.73,4.56,1.37,7.58,42.13,1.49,21067.06,489.96,380,845.03,638.26,219.84,0.06,34.98,45.04,13.34,6.83,80.34,33.62,87.09,107.55,2676.09,2020.69,1178.94,3.45,1.14,1.02,15.83,1.44,1.62,0.79,1.22,1.55,1.8,1.94,1.38,1,9.86,20962.3,441.11,11292.71,18.54,44.16,13.69,12.85,13.42,11.23,11.54,10.99,11.19,12.31,20.28,10.73,5.69,1.18,1.73,4.56,11.37,7.58,52.13,1.49,21077.06,498.96,390,855.03,646.26,229.84,10.06,44.98,55.04,17.34,16.83,90.34,43.62,97.09,117.55,2686.09,2030.69,1188.94,8.45,11.14,11.02,25.83,11.44,8.62,10.79,6.22,11.55,7.8,11.94,11.38,10,19.86,20963.3,446.11,11297.71
8.74,32.78,4.37,1.82,2.55,0.92,0.71,0.99,0.92,1.95,7.06,1.06,4.37,1.27,1.88,2.91,1.09,4.93,36.42,1.12,21488.69,450.87,377.6,933.75,783.75,86.54,0.13,68.16,34.53,8.59,5.83,53.02,34.27,85.67,82.66,1085.24,784.16,1146.91,10.46,1.17,0.8,3.64,1.53,1.47,1.14,1,1.83,1.47,1.29,1.26,1.09,6.8,20287.81,189.66,3829.08,18.74,42.78,12.37,11.82,12.55,9.92,10.71,10.99,10.92,11.95,17.06,11.06,4.37,1.27,1.88,2.91,11.09,4.93,46.42,1.12,21498.69,459.87,387.6,943.75,791.75,96.54,10.13,78.16,44.53,12.59,15.83,63.02,44.27,95.67,92.66,1095.24,794.16,1156.91,15.46,11.17,10.8,13.64,11.53,8.47,11.14,6,11.83,7.47,11.29,11.26,10.09,16.8,20288.81,194.66,3834.08
6.24,35.66,5.35,3.12,4.23,1.49,0.75,2.13,2.61,2.95,14.26,1.16,14.63,1.97,2.75,4.01,1.11,8.8,49.03,1.42,28525.84,589.32,384.03,1472.56,899.57,153.34,0.12,24.12,59.93,17.77,8.91,60.12,41.47,85.39,118.85,11020.91,5553.15,2375.32,3.47,2.67,0.83,10.7,6.39,5.4,3.5,2.23,3.99,3.54,5.16,4.01,2.87,22.11,24975.36,386.38,18822.93,16.24,45.66,13.35,13.12,14.23,10.49,10.75,12.13,12.61,12.95,24.26,11.16,14.63,1.97,2.75,4.01,11.11,8.8,59.03,1.42,28535.84,598.32,394.03,1482.56,907.57,163.34,10.12,34.12,69.93,21.77,18.91,70.12,51.47,95.39,128.85,11030.91,5563.15,2385.32,8.47,12.67,10.83,20.7,16.39,12.4,13.5,7.23,13.99,9.54,15.16,14.01,11.87,32.11,24976.36,391.38,18827.93
11.39,39.86,7.97,2.56,2.85,1.95,1.31,0.87,1.07,1.83,10.02,0.65,5.69,0.86,1.45,5.69,1.59,6.51,50.06,1.43,20497.68,690.41,520.42,1119.51,811.97,131.01,0.18,45.53,41.34,13.78,9.11,78.67,31.25,78.62,94.97,3269.27,2090.39,1433.27,2.39,3.56,1.2,22.78,1.88,1.44,1.1,1.04,1.77,1.09,1.67,1.68,1.15,11.76,21820.88,392.78,7710.54,21.39,49.86,15.97,12.56,12.85,10.95,11.31,10.87,11.07,11.83,20.02,10.65,5.69,0.86,1.45,5.69,11.59,6.51,60.06,1.43,20507.68,699.41,530.42,1129.51,819.97,141.01,10.18,55.53,51.34,17.78,19.11,88.67,41.25,88.62,104.97,3279.27,2100.39,1443.27,7.39,13.56,11.2,32.78,11.88,8.44,11.1,6.04,11.77,7.09,11.67,11.68,10.15,21.76,21821.88,397.78,7715.54
1.37,10.99,4.12,1.92,2.47,0.55,0.28,1.08,0.39,1.11,8.82,0.52,10.99,1.51,2.38,5.49,0.11,3.64,5.49,0.76,28841.49,232.02,109.52,571.22,241.2,39.01,0.01,13.99,14.75,5.6,3.3,27.17,18.2,46.21,27.68,1714.6,860.55,240.85,14.55,0.33,0.27,0.66,2.27,1.84,0.86,0.76,2.03,0.54,0.93,0.91,0.83,4.67,35507.53,32.51,1115.86,11.37,20.99,12.12,11.92,12.47,9.55,10.28,11.08,10.39,11.11,18.82,10.52,10.99,1.51,2.38,5.49,10.11,3.64,15.49,0.76,28851.49,241.02,119.52,581.22,249.2,49.01,10.01,23.99,24.75,9.6,13.3,37.17,28.2,56.21,37.68,1724.6,870.55,250.85,19.55,10.33,10.27,10.66,12.27,8.84,10.86,5.76,12.03,6.54,10.93,10.91,9.83,14.67,35508.53,37.51,1120.86
11.11,66.63,8.66,7.22,6.66,2.05,1.84,1.21,2.39,3,9.38,1.53,9.77,1.76,1.87,6.66,3.22,10.37,83.29,1.66,22210.54,872.53,615.99,1408.02,1018.73,74.96,0.09,31.16,36.92,22.85,14.44,95.36,38.37,98.26,131.68,6532.7,3707.1,2489.36,2.92,5.55,1.67,57.19,2.66,2.54,1.08,2,3.86,2.61,3.04,2.35,1.17,15.53,21650.34,240.38,3384.64,21.11,76.63,16.66,17.22,16.66,11.05,11.84,11.21,12.39,13,19.38,11.53,9.77,1.76,1.87,6.66,13.22,10.37,93.29,1.66,22220.54,881.53,625.99,1418.02,1026.73,84.96,10.09,41.16,46.92,26.85,24.44,105.36,48.37,108.26,141.68,6542.7,3717.1,2499.36,7.92,15.55,11.67,67.19,12.66,9.54,11.08,7,13.86,8.61,13.04,12.35,10.17,25.53,21651.34,245.38,3389.64
3.24,22.69,3.89,1.62,2.43,0.87,0.64,2.85,1.67,2.11,20.42,1.15,16.21,1.42,2.03,3.24,0.65,7.03,41.49,0.95,29950.47,627.31,471.05,1383.55,1014.16,70.76,0.18,26.36,45.04,12.88,9.72,65.81,36.1,83.35,116.56,7582.62,4693.97,1084.01,1.94,2.43,0.81,7.29,4.32,2.34,2.22,1.33,2.37,3.35,3.1,1.82,2,17.02,23377.53,509.24,13704.61,13.24,32.69,11.89,11.62,12.43,9.87,10.64,12.85,11.67,12.11,30.42,11.15,16.21,1.42,2.03,3.24,10.65,7.03,51.49,0.95,29960.47,636.31,481.05,1393.55,1022.16,80.76,10.18,36.36,55.04,16.88,19.72,75.81,46.1,93.35,126.56,7592.62,4703.97,1094.01,6.94,12.43,10.81,17.29,14.32,9.34,12.22,6.33,12.37,9.35,13.1,11.82,11,27.02,23378.53,514.24,13709.61
1.89,20.53,6,2.21,3.74,0.64,0.32,1.71,1.23,1.6,18.72,0.51,18.95,1.77,2.77,3.95,0.95,2.87,31.58,0.95,31423.2,451.63,262.4,1344.11,670.99,73.43,0.05,22.69,55.65,10.1,6.32,56.69,32.94,98.02,82.74,3597.3,1850.92,620.11,5.68,1.11,0.3,3.79,2.93,2.19,1.37,0.95,1.88,1.28,1.33,1.14,1,11.09,25592.49,277.65,10670.54,11.89,30.53,14,12.21,13.74,9.64,10.32,11.71,11.23,11.6,28.72,10.51,18.95,1.77,2.77,3.95,10.95,2.87,41.58,0.95,31433.2,460.63,272.4,1354.11,678.99,83.43,10.05,32.69,65.65,14.1,16.32,66.69,42.94,108.02,92.74,3607.3,1860.92,630.11,10.68,11.11,10.3,13.79,12.93,9.19,11.37,5.95,11.88,7.28,11.33,11.14,10,21.09,25593.49,282.65,10675.54
1.69,11.82,2.7,1.18,1.27,0.41,0.2,0.4,0.11,0.77,6.02,0.22,4.05,0.6,0.75,2.13,0.19,3.06,10.13,0.62,20262.3,154.15,111.2,280.03,204.37,32.99,0.07,16.53,18.7,6.33,2.7,38.16,35.27,66.66,47.78,745.69,503.44,252.74,7.23,0.17,0.34,4.05,1.3,0.58,0.38,0.29,0.61,0.58,0.48,1.35,0.39,7.32,19516.76,55.49,1700.87,11.69,21.82,10.7,11.18,11.27,9.41,10.2,10.4,10.11,10.77,16.02,10.22,4.05,0.6,0.75,2.13,10.19,3.06,20.13,0.62,20272.3,163.15,121.2,290.03,212.37,42.99,10.07,26.53,28.7,10.33,12.7,48.16,45.27,76.66,57.78,755.69,513.44,262.74,12.23,10.17,10.34,14.05,11.3,7.58,10.38,5.29,10.61,6.58,10.48,11.35,9.39,17.32,19517.76,60.49,1705.87
3.73,14.92,3.54,2.8,2.8,0.65,0.23,0.71,0.42,1.74,5.11,0.34,7.46,1.68,2.15,2.42,0.51,3.49,37.29,1.21,27224.06,247.11,154.56,431,265.16,63.7,0.13,15.44,24.34,12.55,3.73,35.51,23.86,58.88,48.58,1065.93,580.37,446.66,19.81,0.75,0.56,4.29,0.86,0.76,0.72,0.54,1.74,1.48,0.92,1.66,0.75,10.64,22216.5,251.53,5614.57,13.73,24.92,11.54,12.8,12.8,9.65,10.23,10.71,10.42,11.74,15.11,10.34,7.46,1.68,2.15,2.42,10.51,3.49,47.29,1.21,27234.06,256.11,164.56,441,273.16,73.7,10.13,25.44,34.34,16.55,13.73,45.51,33.86,68.88,58.58,1075.93,590.37,456.66,24.81,10.75,10.56,14.29,10.86,7.76,10.72,5.54,11.74,7.48,10.92,11.66,9.75,20.64,22217.5,256.53,5619.57
4.29,17.87,3.22,0.89,1.25,0.45,0.33,0.8,0.4,1.11,5.93,0.43,3.57,0.6,1.13,1.25,0.21,3.28,8.93,1.09,20348.72,301.2,199.66,594.57,348.24,88.77,0.03,4.25,15.8,8.18,3.22,55.44,37.2,84.85,98.21,1062.1,566.82,280.07,19.97,1.43,0.21,2.14,0.7,1.12,0.31,0.77,0.92,0.92,1.19,1.04,0.32,4.84,19469.82,177.85,3040.43,14.29,27.87,11.22,10.89,11.25,9.45,10.33,10.8,10.4,11.11,15.93,10.43,3.57,0.6,1.13,1.25,10.21,3.28,18.93,1.09,20358.72,310.2,209.66,604.57,356.24,98.77,10.03,14.25,25.8,12.18,13.22,65.44,47.2,94.85,108.21,1072.1,576.82,290.07,24.97,11.43,10.21,12.14,10.7,8.12,10.31,5.77,10.92,6.92,11.19,11.04,9.32,14.84,19470.82,182.85,3045.43
6.81,40.84,6.81,9.53,9.53,0.68,0.37,1.39,1.04,2.16,9.53,0.49,10.89,4.13,3.92,5.44,1.36,5.45,46.28,0.65,19057.05,1412.21,957.68,2256.29,1709.8,157.16,0.1,102.16,79.67,20.72,10.89,60.2,48,85.02,85.37,2705.58,1946.06,2610.12,3.87,3.13,0.49,5.44,1.89,1.54,0.87,1.3,4.63,1.6,1.25,1.52,0.66,8.71,16817.07,500.7,8975.87,16.81,50.84,14.81,19.53,19.53,9.68,10.37,11.39,11.04,12.16,19.53,10.49,10.89,4.13,3.92,5.44,11.36,5.45,56.28,0.65,19067.05,1421.21,967.68,2266.29,1717.8,167.16,10.1,112.16,89.67,24.72,20.89,70.2,58,95.02,95.37,2715.58,1956.06,2620.12,8.87,13.13,10.49,15.44,11.89,8.54,10.87,6.3,14.63,7.6,11.25,11.52,9.66,18.71,16818.07,505.7,8980.87
15.45,57.95,6.44,4.51,4.51,1.54,1.14,1.15,1.26,2.4,6.94,1.26,9.01,1.98,2.35,12.87,3.09,7.38,77.27,1.59,23180.94,911.33,730.33,1530.09,1186.06,181.36,0.08,38.31,38.02,12.56,12.88,73.3,36.82,77.93,78.83,4878.88,3599.88,2298.88,3.23,3.86,2.2,25.76,2.31,2.1,1.48,0.94,3.33,1.68,2.21,1.32,1.23,9.71,24033.96,1102.06,16434.36,25.45,67.95,14.44,14.51,14.51,10.54,11.14,11.15,11.26,12.4,16.94,11.26,9.01,1.98,2.35,12.87,13.09,7.38,87.27,1.59,23190.94,920.33,740.33,1540.09,1194.06,191.36,10.08,48.31,48.02,16.56,22.88,83.3,46.82,87.93,88.83,4888.88,3609.88,2308.88,8.23,13.86,12.2,35.76,12.31,9.1,11.48,5.94,13.33,7.68,12.21,11.32,10.23,19.71,24034.96,1107.06,16439.36
14,50,7,4,5.5,1.79,1.43,0.83,2.59,2.31,10.62,1.77,12,1.99,2.89,7,2.25,8.47,70,0.72,21845,1256.63,989.77,2061.56,1600.05,150.1,0.1,61.83,36.3,15.54,12,42.88,34.92,74.03,94.27,2525.53,1829.46,3037.94,4.33,3.25,1.68,27,4.36,3.9,2.48,1.52,4.01,3.92,3.99,1.49,2.47,11.44,20387.89,872.68,17589.86,24,60,15,14,15.5,10.79,11.43,10.83,12.59,12.31,20.62,11.77,12,1.99,2.89,7,12.25,8.47,80,0.72,21855,1265.63,999.77,2071.56,1608.05,160.1,10.1,71.83,46.3,19.54,22,52.88,44.92,84.03,104.27,2535.53,1839.46,3047.94,9.33,13.25,11.68,37,14.36,10.9,12.48,6.52,14.01,9.92,13.99,11.49,11.47,21.44,20388.89,877.68,17594.86
